变更类型,报文ID(HEX),报文名称,信号名称,变更字段,旧值,新值
报文-新增,0xF4,PZCU_ChassisCtrl2_Event,,DLC,,16
报文-新增,0xF4,PZCU_ChassisCtrl2_Event,,发送节点,,PZCU
信号-新增,0xF4,PZCU_ChassisCtrl2_Event,GameModeHWAForceFb,定义,,"起始位=47,长度=9,字节序=Motorola(大端),因子=0.1,偏移=-22.78,单位=Nm"
信号-新增,0xF4,PZCU_ChassisCtrl2_Event,GameModeInitReq,定义,,"起始位=15,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0xF4,PZCU_ChassisCtrl2_Event,GameModeResdSig,定义,,"起始位=103,长度=32,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位=NA"
信号-新增,0xF4,PZCU_ChassisCtrl2_Event,GameModeSetHWAAng,定义,,"起始位=23,长度=16,字节序=Motorola(大端),因子=0.1,偏移=-780.0,单位=deg"
信号-新增,0xF4,PZCU_ChassisCtrl2_Event,GameModeSteerFeelMode,定义,,"起始位=14,长度=2,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0xF4,PZCU_ChassisCtrl2_Event,GameModeVehSpd,定义,,"起始位=39,长度=8,字节序=Motorola(大端),因子=1.804,偏移=0.0,单位=kph"
信号-新增,0xF4,PZCU_ChassisCtrl2_Event,SigGroup_0x0F4_ChkSm_F,定义,,"起始位=7,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位=NA"
信号-新增,0xF4,PZCU_ChassisCtrl2_Event,SigGroup_0x0F4_RlngCtr_F,定义,,"起始位=11,长度=4,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位=NA"
报文-新增,0x2CE,HWA_Info4_Event,,DLC,,16
报文-新增,0x2CE,HWA_Info4_Event,,发送节点,,Vector_XXX
信号-新增,0x2CE,HWA_Info4_Event,GameModeHWAFbResd,定义,,"起始位=103,长度=32,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位=NA"
信号-新增,0x2CE,HWA_Info4_Event,GameModeHWAInitErrCode,定义,,"起始位=23,长度=3,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x2CE,HWA_Info4_Event,GameModeHWAInitSts,定义,,"起始位=15,长度=3,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位="
信号-新增,0x2CE,HWA_Info4_Event,SigGroup_0x2CE_ChkSm_F,定义,,"起始位=7,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位=NA"
信号-新增,0x2CE,HWA_Info4_Event,SigGroup_0x2CE_RlngCtr_F,定义,,"起始位=11,长度=4,字节序=Motorola(大端),因子=1.0,偏移=0.0,单位=NA"
信号-修改,0x76,ESP_SysSts3_10ms,TDiscMaxEstimd_Mod,单位,K,��
信号-新增,0x196,CCU_ChassisInfo1_10ms,VMM_SusBrkCtrlReq,定义,,"起始位=248,长度=1,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x216,ESP_SysSts3_20ms,ESP_WssCoreMonRob,定义,,"起始位=127,长度=8,字节序=Motorola(大端),因子=1.0,偏移=0.0"
信号-新增,0x3AA,PZCU_ACHtMgm_100ms,AtuoChrgSts,定义,,"起始位=205,长度=2,字节序=Motorola(大端),因子=1.0,偏移=0.0"
